Date,Open,High,Low,Close,Adj Close,Volume
15/07/2019,19.52,21.00,19.33,20.99,20.99,4509900
16/07/2019,20.70,21.19,20.00,20.12,20.12,3682100
17/07/2019,20.30,20.48,19.50,19.51,19.51,1777600
18/07/2019,19.55,20.15,19.52,19.95,19.95,1378200
19/07/2019,20.22,20.44,19.86,20.05,20.05,1503900
22/07/2019,20.50,21.75,20.07,21.62,21.62,5613300
23/07/2019,21.50,23.48,21.19,23.40,23.40,9406200
24/07/2019,23.00,23.32,22.57,23.12,23.12,3173400
25/07/2019,23.20,24.44,22.58,23.00,23.00,5858900
26/07/2019,23.81,25.12,23.25,24.92,24.92,5002600
29/07/2019,25.30,27.12,25.01,26.58,26.58,8802700
30/07/2019,26.96,26.97,24.36,24.47,24.47,8706200
31/07/2019,24.83,25.30,22.60,24.29,24.29,5462900
01/08/2019,24.59,26.33,23.05,23.67,23.67,7897600
02/08/2019,23.57,25.09,23.52,24.91,24.91,4514900
05/08/2019,23.97,24.39,22.73,22.75,22.75,4620900
06/08/2019,23.61,23.75,22.46,22.91,22.91,3063000
07/08/2019,22.75,23.21,21.80,23.11,23.11,3325900
08/08/2019,23.75,24.73,23.44,24.11,24.11,3339400
09/08/2019,24.00,26.38,23.91,25.94,25.94,4394700
12/08/2019,25.75,26.15,24.02,24.59,24.59,4796400
13/08/2019,25.05,25.39,23.80,24.55,24.55,4798800
14/08/2019,22.11,22.38,20.29,20.44,20.44,13929700
15/08/2019,21.40,21.63,20.31,20.68,20.68,4769600
16/08/2019,21.09,21.24,19.55,19.56,19.56,5170100
19/08/2019,19.99,20.45,18.25,18.88,18.88,6509000
20/08/2019,18.79,19.12,18.31,18.80,18.80,3505700
21/08/2019,19.15,19.88,18.85,19.51,19.51,3869000
22/08/2019,19.75,19.84,18.80,19.20,19.20,2677700
23/08/2019,18.65,19.13,18.59,18.79,18.79,2303200
26/08/2019,19.00,19.09,18.70,18.95,18.95,2146900
27/08/2019,18.96,20.38,18.82,19.48,19.48,4944900
28/08/2019,19.82,21.19,19.45,21.03,21.03,3671500
29/08/2019,21.00,21.50,20.60,20.94,20.94,3555800
30/08/2019,21.00,21.28,20.14,21.10,21.10,2333500
03/09/2019,20.84,21.09,19.67,19.96,19.96,2931800
04/09/2019,20.30,20.45,19.40,19.56,19.56,2528600
05/09/2019,19.90,20.26,19.05,20.19,20.19,3861200
06/09/2019,20.25,20.94,20.13,20.59,20.59,2808000
09/09/2019,20.54,21.70,20.54,21.56,21.56,4135900
10/09/2019,21.70,22.00,20.71,20.81,20.81,2556200
11/09/2019,21.19,21.53,20.30,20.53,20.53,2417500
12/09/2019,20.60,21.66,19.95,21.03,21.03,2459600
13/09/2019,21.13,22.00,21.13,22.00,22.00,3396000
16/09/2019,21.78,22.67,21.59,22.52,22.52,2899700
17/09/2019,22.23,22.94,21.63,22.80,22.80,2342000
18/09/2019,22.51,22.68,21.02,21.28,21.28,3932300
19/09/2019,21.56,22.10,21.25,21.55,21.55,2681800
20/09/2019,21.74,22.00,20.85,21.45,21.45,1730200
23/09/2019,21.28,21.69,21.19,21.51,21.51,1279000
24/09/2019,21.50,21.63,20.03,20.22,20.22,2940900
25/09/2019,20.00,20.49,19.54,20.37,20.37,1831600
26/09/2019,20.51,20.59,19.92,20.16,20.16,1350000
27/09/2019,20.20,20.23,18.45,19.01,19.01,7709400
30/09/2019,19.30,19.33,18.63,19.00,19.00,3428400
01/10/2019,19.08,19.21,18.50,18.77,18.77,2266200
02/10/2019,18.83,18.83,17.84,18.21,18.21,3106800
03/10/2019,18.15,19.08,17.99,18.91,18.91,2890300
04/10/2019,19.02,19.40,18.80,19.28,19.28,1840700
07/10/2019,19.32,19.47,19.05,19.37,19.37,1112300
08/10/2019,19.06,19.15,18.40,18.54,18.54,2142500
09/10/2019,18.82,18.92,18.40,18.85,18.85,685800
10/10/2019,18.56,18.84,18.26,18.46,18.46,1125000
11/10/2019,18.85,19.27,18.68,18.93,18.93,2222600
14/10/2019,18.81,19.29,18.81,19.17,19.17,1314700
15/10/2019,19.48,19.70,19.26,19.60,19.60,2076400
16/10/2019,19.50,19.67,19.10,19.50,19.50,1590300
17/10/2019,19.60,20.09,19.51,19.66,19.66,2371400
18/10/2019,19.75,20.16,19.02,19.08,19.08,2253700
21/10/2019,19.36,20.13,19.33,20.02,20.02,2772900
22/10/2019,20.07,21.41,20.05,21.18,21.18,4118400
23/10/2019,21.14,21.49,20.83,21.10,21.10,2452800
24/10/2019,21.17,21.86,21.09,21.47,21.47,2475400
25/10/2019,21.35,21.45,20.80,20.87,20.87,2226500
28/10/2019,21.00,21.00,20.11,20.33,20.33,2042400
29/10/2019,20.12,20.16,19.52,19.63,19.63,2298400
30/10/2019,19.63,20.24,19.63,20.01,20.01,2272200
31/10/2019,20.00,20.10,19.55,19.58,19.58,1742900
01/11/2019,20.01,20.08,19.15,19.23,19.23,2009500
04/11/2019,19.38,19.80,19.10,19.22,19.22,2131200
05/11/2019,19.32,19.53,19.05,19.09,19.09,1173100
06/11/2019,19.28,19.52,18.68,18.77,18.77,2529400
07/11/2019,19.20,19.23,18.53,18.73,18.73,2054400
08/11/2019,18.75,18.89,18.48,18.56,18.56,2374600
11/11/2019,18.32,19.10,18.30,18.76,18.76,3583300
12/11/2019,18.97,19.35,18.93,18.98,18.98,4104900
13/11/2019,21.90,21.90,20.85,21.46,21.46,16787600
14/11/2019,21.29,21.73,20.76,21.54,21.54,5991200
15/11/2019,22.00,27.31,21.95,27.02,27.02,24354100
18/11/2019,25.50,30.33,25.00,28.16,28.16,25106800
19/11/2019,27.55,28.84,26.60,27.26,27.26,11092000
20/11/2019,26.61,27.76,25.61,26.30,26.30,11222700
21/11/2019,27.13,28.72,26.66,27.95,27.95,14453600
22/11/2019,29.10,30.63,28.75,29.85,29.85,16274700
25/11/2019,30.55,32.56,30.50,32.00,32.00,12416100
26/11/2019,32.80,33.48,30.56,32.10,32.10,10627000
